datetimeobject,STUSPS,positiveIncrease,testIncrease,deathIncrease,positiveCumulative,testCumulative,deathCumulative,positiveRate,testRate,deathRate,ndays,positiveIncreaseRate,testIncreaseRate,deathIncreaseRate
2020-06-25,AL,1142.0,10699.0,5.0,33206.0,369458.0,896.0,677.2332677637087,7535.06139376752,18.273836292124404,155,23.290983309828203,218.20510545696317,0.10197453288015851
2020-06-26,AL,977.0,8865.0,11.0,34183.0,378323.0,907.0,697.1590914884916,7715.862240564042,18.498180264460753,156,19.925823724782973,180.80084679652103,0.22434397233634873
2020-06-27,AL,900.0,5703.0,12.0,35083.0,384026.0,919.0,715.5145074069202,7832.1743927671505,18.742919143373133,157,18.35541591842853,116.3121522031088,0.24473887891238041
2020-06-28,AL,358.0,2254.0,0.0,35441.0,386280.0,919.0,722.8158839611395,7878.144512189527,18.742919143373133,158,7.301376554219349,45.970119422375454,0.0
2020-06-29,AL,1734.0,7013.0,10.0,37175.0,393293.0,929.0,758.1806519639786,8021.173992007236,18.946868209133452,159,35.36476800283897,143.02947981771032,0.20394906576031702
2020-06-30,AL,870.0,13359.0,21.0,38045.0,406652.0,950.0,775.9242206851261,8293.629548956444,19.375161247230114,160,17.743568721147582,272.4555569492075,0.42829303809666575
2020-07-01,AL,917.0,7301.0,22.0,38962.0,413953.0,972.0,794.6263500153472,8442.532761868051,19.823849191902813,161,18.70212933022107,148.90321291160745,0.44868794467269746
2020-07-02,AL,1149.0,5775.0,13.0,40111.0,419728.0,985.0,818.0600976712076,8560.313347344634,20.088982977391225,162,23.433747655860426,117.78058547658308,0.2651337854884121
2020-07-03,AL,1754.0,10903.0,21.0,41865.0,430631.0,1006.0,853.8327638055673,8782.679013743109,20.51727601548789,163,35.7726661343596,222.36566639847365,0.42829303809666575
2020-07-04,AL,997.0,11457.0,1.0,42862.0,442088.0,1007.0,874.1664856618708,9016.343458384703,20.537670922063924,164,20.333721856303608,233.6644446415952,0.020394906576031702
