datetimeobject,variable,value
2020-06-06,8d,936.5
2020-06-07,8d,905.75
2020-06-08,8d,905.75
2020-06-09,8d,913.25
2020-06-10,8d,890.5
2020-06-11,8d,890.5
2020-06-12,8d,888.25
2020-06-13,8d,888.25
2020-06-14,8d,888.25
2020-06-15,8d,888.25
2020-06-16,8d,888.25
2020-06-17,8d,800.25
2020-06-18,8d,768.25
2020-06-19,8d,738.5
2020-06-20,8d,710.25
2020-06-21,8d,710.25
2020-06-22,8d,710.25
2020-06-23,8d,713.25
2020-06-24,8d,712.0
2020-06-25,8d,712.0
2020-06-26,8d,712.0
2020-06-27,8d,712.0
2020-06-28,8d,712.0
2020-06-29,8d,712.0
2020-06-30,8d,712.0
2020-07-01,8d,706.75
2020-07-02,8d,698.0
2020-07-03,8d,651.25
2020-07-04,8d,622.0
2020-07-05,8d,622.0
2020-07-06,8d,622.0
2020-07-07,8d,698.0
2020-07-08,8d,750.0
2020-07-09,8d,874.5
2020-07-10,8d,874.5
2020-07-11,8d,874.5
2020-07-12,8d,874.5
2020-07-13,8d,874.5
2020-07-14,8d,874.5
2020-07-15,8d,860.25
2020-07-16,8d,860.25
2020-07-17,8d,881.25
2020-07-18,8d,891.75
2020-07-19,8d,891.75
2020-07-20,8d,891.75
2020-07-21,8d,956.75
2020-07-22,8d,990.0
2020-07-23,8d,1038.25
2020-07-24,8d,1058.5
2020-07-25,8d,1058.5
2020-07-26,8d,1058.5
2020-07-27,8d,1073.5
2020-01-22,9d,
2020-01-23,9d,
2020-01-24,9d,
2020-01-25,9d,
2020-01-26,9d,
2020-01-27,9d,
2020-01-28,9d,
2020-01-29,9d,
2020-01-30,9d,0.0
2020-01-31,9d,0.0
2020-02-01,9d,0.0
2020-02-02,9d,0.0
2020-02-03,9d,0.0
2020-02-04,9d,0.0
2020-02-05,9d,0.0
2020-02-06,9d,0.0
2020-02-07,9d,0.0
2020-02-08,9d,0.0
2020-02-09,9d,0.0
2020-02-10,9d,0.0
2020-02-11,9d,0.0
2020-02-12,9d,0.0
2020-02-13,9d,0.0
2020-02-14,9d,0.0
2020-02-15,9d,0.0
2020-02-16,9d,0.0
2020-02-17,9d,0.0
2020-02-18,9d,0.0
2020-02-19,9d,0.0
2020-02-20,9d,0.0
2020-02-21,9d,0.0
2020-02-22,9d,0.0
2020-02-23,9d,0.0
2020-02-24,9d,0.0
2020-02-25,9d,0.0
2020-02-26,9d,0.0
2020-02-27,9d,0.0
2020-02-28,9d,0.0
2020-02-29,9d,1.0
2020-03-01,9d,2.0
2020-03-02,9d,2.0
2020-03-03,9d,3.0
2020-03-04,9d,3.0
2020-03-05,9d,3.0
2020-03-06,9d,3.0
2020-03-07,9d,3.0
2020-03-08,9d,4.0
2020-03-09,9d,4.0
2020-03-10,9d,4.0
2020-03-11,9d,4.0
2020-03-12,9d,6.0
2020-03-13,9d,6.0
2020-03-14,9d,6.0
2020-03-15,9d,8.0
2020-03-16,9d,9.0
2020-03-17,9d,15.0
2020-03-18,9d,21.0
2020-03-19,9d,22.0
2020-03-20,9d,31.0
2020-03-21,9d,46.0
2020-03-22,9d,61.0
2020-03-23,9d,68.0
2020-03-24,9d,97.0
2020-03-25,9d,143.0
2020-03-26,9d,231.0
2020-03-27,9d,232.0
2020-03-28,9d,311.0
2020-03-29,9d,401.0
2020-03-30,9d,516.0
2020-03-31,9d,519.0
2020-04-01,9d,577.0
2020-04-02,9d,861.0
2020-04-03,9d,988.0
2020-04-04,9d,1149.0
2020-04-05,9d,1259.0
2020-04-06,9d,1259.0
2020-04-07,9d,1285.0
2020-04-08,9d,1440.0
2020-04-09,9d,1944.0
2020-04-10,9d,1956.0
2020-04-11,9d,1972.0
2020-04-12,9d,1972.0
2020-04-13,9d,1972.0
2020-04-14,9d,1982.0
2020-04-15,9d,2055.0
2020-04-16,9d,2141.0
2020-04-17,9d,2141.0
2020-04-18,9d,2141.0
2020-04-19,9d,2141.0
2020-04-20,9d,2141.0
2020-04-21,9d,2287.0
2020-04-22,9d,2287.0
2020-04-23,9d,2141.0
2020-04-24,9d,2077.0
2020-04-25,9d,2065.0
2020-04-26,9d,1865.0
2020-04-27,9d,1865.0
2020-04-28,9d,2042.0
2020-04-29,9d,2065.0
2020-04-30,9d,2065.0
2020-05-01,9d,2042.0
2020-05-02,9d,2042.0
2020-05-03,9d,2042.0
2020-05-04,9d,2042.0
2020-05-05,9d,2117.0
2020-05-06,9d,2117.0
2020-05-07,9d,2445.0
2020-05-08,9d,2117.0
2020-05-09,9d,1932.0
2020-05-10,9d,1932.0
2020-05-11,9d,1932.0
2020-05-12,9d,1932.0
2020-05-13,9d,1932.0
2020-05-14,9d,1871.0
2020-05-15,9d,1779.0
2020-05-16,9d,1696.0
2020-05-17,9d,1502.0
2020-05-18,9d,1502.0
2020-05-19,9d,1502.0
2020-05-20,9d,1502.0
2020-05-21,9d,1502.0
2020-05-22,9d,1392.0
2020-05-23,9d,1388.0
2020-05-24,9d,1335.0
2020-05-25,9d,1335.0
2020-05-26,9d,1335.0
2020-05-27,9d,1335.0
2020-05-28,9d,1335.0
2020-05-29,9d,1318.0
2020-05-30,9d,1226.0
2020-05-31,9d,1179.0
