datetimeobject,epochmilli,STUSPS,positiveRate,deathRate,label
2020-04-05,1586044800000.0,MT,26.665968049492037,0.46782400086828135,
2020-04-06,1586131200000.0,MT,27.788745651575912,0.46782400086828135,
2020-04-07,1586217600000.0,MT,29.753606455222695,0.46782400086828135,
2020-04-08,1586304000000.0,MT,31.063513657653886,0.46782400086828135,
2020-04-09,1586390400000.0,MT,32.934809661127005,0.46782400086828135,
2020-04-10,1586476800000.0,MT,34.151152063384544,0.46782400086828135,
2020-04-11,1586563200000.0,MT,35.273929665468415,0.46782400086828135,
2020-04-12,1586649600000.0,MT,36.209577667204975,0.46782400086828135,
2020-04-13,1586736000000.0,MT,36.86453126842057,0.5613888010419377,
2020-04-14,1586822400000.0,MT,37.332355269288854,0.5613888010419377,
2020-04-15,1586908800000.0,MT,37.80017927015713,0.5613888010419377,
2020-04-16,1586995200000.0,MT,38.64226247172004,0.5613888010419377,
2020-04-17,1587081600000.0,MT,39.484345673282945,0.6549536012155939,
2020-04-18,1587168000000.0,MT,39.85860487397757,0.8420832015629064,
2020-04-19,1587254400000.0,MT,40.513558475193165,0.8420832015629064,
2020-04-20,1587340800000.0,MT,40.513558475193165,0.8420832015629064,
2020-04-21,1587427200000.0,MT,40.88781767588779,1.029212801910219,
2020-04-22,1587513600000.0,MT,41.07494727623511,1.2163424022575315,
2020-04-23,1587600000000.0,MT,41.35564167675607,1.2163424022575315,
2020-04-24,1587686400000.0,MT,41.542771277103384,1.2163424022575315,
2020-04-25,1587772800000.0,MT,41.636336077277036,1.2163424022575315,
2020-04-26,1587859200000.0,MT,41.91703047779801,1.2163424022575315,
2020-04-27,1587945600000.0,MT,42.01059527797167,1.2163424022575315,
2020-04-28,1588032000000.0,MT,42.19772487831898,1.3099072024311877,
2020-04-29,1588118400000.0,MT,42.19772487831898,1.4034720026048442,
2020-04-30,1588204800000.0,MT,42.29128967849263,1.4034720026048442,
2020-05-01,1588291200000.0,MT,42.29128967849263,1.4034720026048442,
2020-05-02,1588377600000.0,MT,42.478419278839944,1.4034720026048442,
2020-05-03,1588464000000.0,MT,42.478419278839944,1.4034720026048442,
2020-05-04,1588550400000.0,MT,42.5719840790136,1.4034720026048442,
2020-05-05,1588636800000.0,MT,42.5719840790136,1.4034720026048442,
2020-05-06,1588723200000.0,MT,42.5719840790136,1.4034720026048442,
2020-05-07,1588809600000.0,MT,42.5719840790136,1.4034720026048442,
2020-05-08,1588896000000.0,MT,42.759113679360915,1.4034720026048442,
2020-05-09,1588982400000.0,MT,42.852678479534575,1.4034720026048442,
2020-05-10,1589068800000.0,MT,42.852678479534575,1.4034720026048442,
2020-05-11,1589155200000.0,MT,42.94624327970823,1.4034720026048442,
2020-05-12,1589241600000.0,MT,43.13337288005554,1.4034720026048442,
2020-05-13,1589328000000.0,MT,43.22693768022919,1.4034720026048442,
2020-05-14,1589414400000.0,MT,43.22693768022919,1.4034720026048442,
2020-05-15,1589500800000.0,MT,43.60119688092382,1.4034720026048442,
2020-05-16,1589587200000.0,MT,43.788326481271135,1.4034720026048442,
2020-05-17,1589673600000.0,MT,43.788326481271135,1.4034720026048442,
2020-05-18,1589760000000.0,MT,43.97545608161845,1.4034720026048442,
2020-05-19,1589846400000.0,MT,44.069020881792106,1.4034720026048442,
2020-05-20,1589932800000.0,MT,44.723974483007694,1.4034720026048442,
2020-05-21,1590019200000.0,MT,44.81753928318135,1.4034720026048442,
2020-05-22,1590105600000.0,MT,44.81753928318135,1.4034720026048442,
2020-05-23,1590192000000.0,MT,44.81753928318135,1.4034720026048442,
2020-05-24,1590278400000.0,MT,44.81753928318135,1.4034720026048442,
2020-05-25,1590364800000.0,MT,44.81753928318135,1.4034720026048442,
2020-05-26,1590451200000.0,MT,44.81753928318135,1.4970368027785004,
2020-05-27,1590537600000.0,MT,45.004668883528666,1.4970368027785004,
2020-05-28,1590624000000.0,MT,45.37892808422329,1.4970368027785004,
2020-05-29,1590710400000.0,MT,46.033881685438885,1.4970368027785004,
2020-05-30,1590796800000.0,MT,47.156659287522764,1.4970368027785004,
2020-05-31,1590883200000.0,MT,48.092307289259324,1.4970368027785004,
2020-06-01,1590969600000.0,MT,48.46656648995395,1.4970368027785004,
2020-06-02,1591056000000.0,MT,48.84082569064857,1.4970368027785004,
2020-06-03,1591142400000.0,MT,49.027955290995884,1.4970368027785004,
2020-06-04,1591228800000.0,MT,50.15073289307976,1.4970368027785004,
2020-06-05,1591315200000.0,MT,50.337862493427075,1.5906016029521566,
2020-06-06,1591401600000.0,MT,50.43142729360073,1.5906016029521566,
2020-06-07,1591488000000.0,MT,50.89925129446901,1.5906016029521566,
2020-06-08,1591574400000.0,MT,51.179945694989975,1.5906016029521566,
2020-06-09,1591660800000.0,MT,51.74133449603192,1.5906016029521566,
2020-06-10,1591747200000.0,MT,52.396288097247506,1.5906016029521566,
2020-06-11,1591833600000.0,MT,52.67698249776848,1.5906016029521566,
2020-06-12,1591920000000.0,MT,53.612630499505045,1.5906016029521566,
2020-06-13,1592006400000.0,MT,55.01610250210989,1.5906016029521566,
2020-06-14,1592092800000.0,MT,56.23244490436742,1.6841664031258128,
2020-06-15,1592179200000.0,MT,56.88739850558301,1.6841664031258128,
2020-06-16,1592265600000.0,MT,57.35522250645129,1.6841664031258128,
2020-06-17,1592352000000.0,MT,58.945824109403446,1.777731203299469,
2020-06-18,1592438400000.0,MT,61.28494411374486,1.777731203299469,
2020-06-19,1592524800000.0,MT,62.314156915655076,1.777731203299469,
2020-06-20,1592611200000.0,MT,65.12110092086476,1.777731203299469,
2020-06-21,1592697600000.0,MT,66.9923969243379,1.777731203299469,
2020-06-22,1592784000000.0,MT,68.58299852729004,1.8712960034731254,
2020-06-23,1592870400000.0,MT,69.42508172885294,1.8712960034731254,
2020-06-24,1592956800000.0,MT,71.29637773232608,1.8712960034731254,
2020-06-25,1593043200000.0,MT,74.85184013892501,1.8712960034731254,
2020-06-26,1593129600000.0,MT,77.4716545437874,1.9648608036467816,
2020-06-27,1593216000000.0,MT,79.62364494778149,1.9648608036467816,
2020-06-28,1593302400000.0,MT,80.55929294951805,1.9648608036467816,
2020-06-29,1593388800000.0,MT,85.7989217592428,1.9648608036467816,
2020-06-30,1593475200000.0,MT,90.38359696775196,1.9648608036467816,
2020-07-01,1593561600000.0,MT,95.06183697643478,1.9648608036467816,
2020-07-02,1593648000000.0,MT,101.33067858806974,1.9648608036467816,
2020-07-03,1593734400000.0,MT,105.44752979571061,2.058425603820438,
2020-07-04,1593820800000.0,MT,109.19012180265688,2.058425603820438,
2020-07-05,1593907200000.0,MT,113.4005378104714,2.058425603820438,
