datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-27,1580083200000,UT,0.0,0.0
2020-01-27,1580083200000,VT,0.0,0.0
2020-01-27,1580083200000,VA,0.0,0.0
2020-01-27,1580083200000,WA,0.0,0.0
2020-01-27,1580083200000,WV,0.0,0.0
2020-01-27,1580083200000,WI,0.0,0.0
2020-01-27,1580083200000,WY,0.0,0.0
2020-01-27,1580083200000,PR,0.0,0.0
2020-01-28,1580169600000,AL,0.0,0.0
2020-01-28,1580169600000,AK,0.0,0.0
2020-01-28,1580169600000,AZ,0.013738684990775159,0.0
2020-01-28,1580169600000,AR,0.0,0.0
2020-01-28,1580169600000,CA,0.005061724823733659,0.0
2020-01-28,1580169600000,CO,0.0,0.0
2020-01-28,1580169600000,CT,0.0,0.0
2020-01-28,1580169600000,DE,0.0,0.0
2020-01-28,1580169600000,DC,0.0,0.0
2020-01-28,1580169600000,FL,0.0,0.0
2020-01-28,1580169600000,GA,0.0,0.0
2020-01-28,1580169600000,HI,0.0,0.0
2020-01-28,1580169600000,ID,0.0,0.0
2020-01-28,1580169600000,IL,0.007891525614195465,0.0
2020-01-28,1580169600000,IN,0.0,0.0
2020-01-28,1580169600000,IA,0.0,0.0
2020-01-28,1580169600000,KS,0.0,0.0
2020-01-28,1580169600000,KY,0.0,0.0
2020-01-28,1580169600000,LA,0.0,0.0
2020-01-28,1580169600000,ME,0.0,0.0
2020-01-28,1580169600000,MD,0.0,0.0
2020-01-28,1580169600000,MA,0.0,0.0
2020-01-28,1580169600000,MI,0.0,0.0
2020-01-28,1580169600000,MN,0.0,0.0
2020-01-28,1580169600000,MS,0.0,0.0
2020-01-28,1580169600000,MO,0.0,0.0
2020-01-28,1580169600000,MT,0.0,0.0
2020-01-28,1580169600000,NE,0.0,0.0
2020-01-28,1580169600000,NV,0.0,0.0
2020-01-28,1580169600000,NH,0.0,0.0
2020-01-28,1580169600000,NJ,0.0,0.0
2020-01-28,1580169600000,NM,0.0,0.0
2020-01-28,1580169600000,NY,0.0,0.0
2020-01-28,1580169600000,NC,0.0,0.0
2020-01-28,1580169600000,ND,0.0,0.0
2020-01-28,1580169600000,OH,0.0,0.0
2020-01-28,1580169600000,OK,0.0,0.0
2020-01-28,1580169600000,OR,0.0,0.0
2020-01-28,1580169600000,PA,0.0,0.0
2020-01-28,1580169600000,RI,0.0,0.0
2020-01-28,1580169600000,SC,0.0,0.0
2020-01-28,1580169600000,SD,0.0,0.0
2020-01-28,1580169600000,TN,0.0,0.0
2020-01-28,1580169600000,TX,0.0,0.0
2020-01-28,1580169600000,UT,0.0,0.0
2020-01-28,1580169600000,VT,0.0,0.0
2020-01-28,1580169600000,VA,0.0,0.0
2020-01-28,1580169600000,WA,0.0,0.0
2020-01-28,1580169600000,WV,0.0,0.0
2020-01-28,1580169600000,WI,0.0,0.0
2020-01-28,1580169600000,WY,0.0,0.0
2020-01-28,1580169600000,PR,0.0,0.0
2020-01-29,1580256000000,AL,0.0,0.0
2020-01-29,1580256000000,AK,0.0,0.0
2020-01-29,1580256000000,AZ,0.013738684990775159,0.0
2020-01-29,1580256000000,AR,0.0,0.0
2020-01-29,1580256000000,CA,0.005061724823733659,0.0
2020-01-29,1580256000000,CO,0.0,0.0
2020-01-29,1580256000000,CT,0.0,0.0
2020-01-29,1580256000000,DE,0.0,0.0
2020-01-29,1580256000000,DC,0.0,0.0
2020-01-29,1580256000000,FL,0.0,0.0
2020-01-29,1580256000000,GA,0.0,0.0
2020-01-29,1580256000000,HI,0.0,0.0
2020-01-29,1580256000000,ID,0.0,0.0
2020-01-29,1580256000000,IL,0.007891525614195465,0.0
2020-01-29,1580256000000,IN,0.0,0.0
2020-01-29,1580256000000,IA,0.0,0.0
2020-01-29,1580256000000,KS,0.0,0.0
2020-01-29,1580256000000,KY,0.0,0.0
2020-01-29,1580256000000,LA,0.0,0.0
2020-01-29,1580256000000,ME,0.0,0.0
2020-01-29,1580256000000,MD,0.0,0.0
2020-01-29,1580256000000,MA,0.0,0.0
2020-01-29,1580256000000,MI,0.0,0.0
2020-01-29,1580256000000,MN,0.0,0.0
2020-01-29,1580256000000,MS,0.0,0.0
2020-01-29,1580256000000,MO,0.0,0.0
2020-01-29,1580256000000,MT,0.0,0.0
2020-01-29,1580256000000,NE,0.0,0.0
2020-01-29,1580256000000,NV,0.0,0.0
2020-01-29,1580256000000,NH,0.0,0.0
2020-01-29,1580256000000,NJ,0.0,0.0
2020-01-29,1580256000000,NM,0.0,0.0
2020-01-29,1580256000000,NY,0.0,0.0
