datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-09-04,1599177600000,DC,11001,51.0,14186.0,2.0,611.0,2010.063067747882,86.57468873494685,7.226365180822077,0.28338686983615985,226
2020-09-05,1599264000000,DC,11001,52.0,14238.0,0.0,611.0,2017.431126363622,86.57468873494685,7.368058615740157,0.0,227
2020-09-06,1599350400000,DC,11001,41.0,14279.0,0.0,611.0,2023.2405571952634,86.57468873494685,5.8094308316412775,0.0,228
2020-09-07,1599436800000,DC,11001,36.0,14315.0,0.0,611.0,2028.3415208523143,86.57468873494685,5.100963657050878,0.0,229
2020-09-08,1599523200000,DC,11001,47.0,14362.0,0.0,611.0,2035.0011122934638,86.57468873494685,6.6595914411497565,0.0,230
2020-09-09,1599609600000,DC,11001,25.0,14387.0,4.0,615.0,2038.543448166416,87.14146247461916,3.5423358729519983,0.5667737396723197,231
2020-09-10,1599696000000,DC,11001,25.0,14412.0,1.0,616.0,2042.0857840393683,87.28315590953724,3.5423358729519983,0.14169343491807992,232
2020-09-11,1599782400000,DC,11001,81.0,14493.0,0.0,616.0,2053.5629522677323,87.28315590953724,11.477168228364475,0.0,233
2020-09-12,1599868800000,DC,11001,0.0,14493.0,0.0,616.0,2053.5629522677323,87.28315590953724,0.0,0.0,234
2020-09-13,1599955200000,DC,11001,99.0,14592.0,0.0,616.0,2067.5906023246225,87.28315590953724,14.027650056889915,0.0,235
2020-09-14,1600041600000,DC,11001,30.0,14622.0,0.0,616.0,2071.841405372165,87.28315590953724,4.250803047542398,0.0,236
2020-09-15,1600128000000,DC,11001,65.0,14687.0,0.0,616.0,2081.0514786418403,87.28315590953724,9.210073269675195,0.0,237
2020-09-16,1600214400000,DC,11001,56.0,14743.0,1.0,617.0,2088.9863109972525,87.42484934445532,7.9348323554124764,0.14169343491807992,238
2020-09-17,1600300800000,DC,11001,47.0,14790.0,2.0,619.0,2095.645902438402,87.70823621429147,6.6595914411497565,0.28338686983615985,239
2020-09-18,1600387200000,DC,11001,62.0,14852.0,0.0,619.0,2104.430895403323,87.70823621429147,8.784992964920956,0.0,240
2020-09-19,1600473600000,DC,11001,50.0,14902.0,0.0,619.0,2111.515567149227,87.70823621429147,7.0846717459039965,0.0,241
2020-09-20,1600560000000,DC,11001,53.0,14955.0,1.0,620.0,2119.0253191998854,87.84992964920957,7.5097520506582365,0.14169343491807992,242
2020-09-21,1600646400000,DC,11001,23.0,14978.0,1.0,621.0,2122.2842682030014,87.99162308412764,3.2589490031158386,0.14169343491807992,243
2020-09-22,1600732800000,DC,11001,43.0,15021.0,0.0,621.0,2128.377085904479,87.99162308412764,6.092817701477438,0.0,244
2020-09-23,1600819200000,DC,11001,29.0,15050.0,0.0,621.0,2132.486195517103,87.99162308412764,4.1091096126243185,0.0,245
2020-09-24,1600905600000,DC,11001,56.0,15106.0,0.0,621.0,2140.421027872516,87.99162308412764,7.9348323554124764,0.0,246
