STUSPS,COUNTYGEOID,Population,riskType,risk
CO,08057,1394,Total Kidney (hazard quotient),0.000225296843947
CO,08059,534543,Total Kidney (hazard quotient),0.000900262731962
CO,08061,1398,Total Kidney (hazard quotient),0.000177842379211
CO,08063,8270,Total Kidney (hazard quotient),0.000268559352804
CO,08065,7310,Total Kidney (hazard quotient),0.000165267995598
CO,08067,51334,Total Kidney (hazard quotient),0.000126808064911
CO,08069,299630,Total Kidney (hazard quotient),0.001027656002668
CO,08071,15507,Total Kidney (hazard quotient),0.000191014944461
CO,08073,5467,Total Kidney (hazard quotient),0.000725053027441
CO,08075,22709,Total Kidney (hazard quotient),0.000549288019487
CO,08077,146723,Total Kidney (hazard quotient),0.00026788002544
CO,08079,712,Total Kidney (hazard quotient),7.251053254e-05
CO,08081,13795,Total Kidney (hazard quotient),0.000408271070748
CO,08083,25535,Total Kidney (hazard quotient),0.000110775580349
CO,08085,41276,Total Kidney (hazard quotient),0.000120634407292
CO,08087,28159,Total Kidney (hazard quotient),0.001357750893755
CO,08089,18831,Total Kidney (hazard quotient),0.000230298171887
CO,08091,4436,Total Kidney (hazard quotient),7.438261534e-05
CO,08093,16206,Total Kidney (hazard quotient),0.000369071334322
CO,08095,4442,Total Kidney (hazard quotient),0.000315971470618
CO,08097,17148,Total Kidney (hazard quotient),0.000167824926616
CO,08099,12551,Total Kidney (hazard quotient),0.000224660183093
CO,08101,159063,Total Kidney (hazard quotient),0.00060348353461
CO,08103,6666,Total Kidney (hazard quotient),0.000246223795471
CO,08105,11982,Total Kidney (hazard quotient),8.1725643476e-05
CO,08107,23509,Total Kidney (hazard quotient),0.000322343815853
CO,08109,6108,Total Kidney (hazard quotient),9.0482322801e-05
CO,08111,699,Total Kidney (hazard quotient),6.9705392315e-05
CO,08113,7359,Total Kidney (hazard quotient),8.5191575367e-05
CO,08115,2379,Total Kidney (hazard quotient),0.000474486645046
CO,08117,27994,Total Kidney (hazard quotient),0.000232696670446
